domain,video_id,title,channel,channel_id,subscriber_count,view_count,like_count,comment_count,view_per_sub,like_per_view,upload_date,upload_weekday,duration_s,width,height,fps,aspect_ratio,has_chapters,has_nico_link,has_heatmap,was_premiere,collected_at,upload_hour,scene_duration_s,scene_fps,scene_num_scenes,scene_avg_shot_len_s,scene_median_shot_len_s,scene_min_shot_len_s,scene_max_shot_len_s,scene_cuts_per_minute,scene_avg_brightness,scene_avg_saturation,audio_duration_s,audio_bpm,audio_key,audio_key_confidence,audio_rms_mean,audio_rms_std,audio_spectral_centroid_hz,audio_onsets_per_sec,audio_peak_energy_at_s,audio_lufs_i,audio_lra_lu,tag_style_top,tag_mood_top,tag_closeup_ratio,tag_wide_ratio,tag_avg_characters,tag_lyrics_text_ratio,lyrics_n_lyric_lines,lyrics_first_lyric_at_s,lyrics_lyric_lines_per_min,lyrics_lang,lyrics_source,lyrics_first_vocal_at_s,thumb_style,thumb_num_characters,thumb_has_text,thumb_mood,thumb_composition,thumb_brightness,thumb_saturation,title_len,title_has_emoji,title_bracket_segments,title_has_mv_mark,title_exclaim_count,sync_cut_beat_offset_med_s,sync_cut_on_beat_ratio,sync_cut_accel_at_peak,sync_first_cut_s,sync_first_lyric_at_s,sync_beats_per_cut,lyrics_topic_1,lyrics_topic_2,lyrics_sentiment,lyrics_addressee,lyrics_text_frame_ratio,lyrics_has_hardsub,hook_cuts_first_15s,hook_energy_first_10s_ratio,audio_peak_energy_ratio,group,lyrics_compression_ratio,lyrics_title_first_s,lyrics_title_count,lyrics_first_chorus_s,sync_cut_on_line_ratio,heat_slope_first_30s,heat_peak_at_ratio,heat_peak_value
vocaloid,7EYuHASt2Ks,"ᵇᵉˢᵗ ᶠʳⁱᴱᴺᴰ / 雨衣, 初音ミク",hya,UC-bOZPPEmO96K7DEHi2lGcw,61500,1211244,45048,1100,19.695,0.0372,20251018,5,198,1920,1080,24,1.778,False,False,True,True,2026-07-16T11:36:31,7,197.83,24.0,115,1.72,1.29,0.62,7.83,34.9,0.206,0.376,197.83,89.1,F# minor,0.56,0.1711,0.082,3154.0,3.89,160,-14.6,7.0,anime,슬픔,0.757,0.235,0.97,0.748,54,2,16.4,ja,ocr,1,anime,1,False,슬픔,인물 클로즈업,0.248,0.335,22,False,0,False,0,0.151,0.219,1.3,1.29,2,2.6,사랑,이별,부정,1인칭 독백,0.677,True,3,0.748,0.809,top,0.537,,0,,0.2544,0.012305,0.805,1.0
vocaloid,Jtm6ikBIl0g,ピノキオピー - T氏の話を信じるな feat. 初音ミク・重音テト / Don’t Believe in T,ピノキオピー PINOCCHIOP OFFICIAL CHANNEL,UCMMBGMjrrWcRZmG_lW4jC-Q,1670000,25909147,303469,10000,15.5145,0.0117,20250627,4,163,1920,1080,30,1.778,False,False,True,False,2026-07-16T11:43:19,3,163.16,29.97,92,1.77,1.44,0.53,7.74,33.8,0.613,0.331,163.17,143.6,F minor,0.476,0.2681,0.0971,2933.0,4.38,140,-11.6,3.9,anime,활기,0.804,0.109,1.33,0.88,22,42,8.1,ja,ocr,3,anime,2,True,활기,인물 클로즈업,0.726,0.301,55,False,0,False,0,0.08,0.571,0.9,0.83,42,4.2,자기긍정,,긍정,1인칭 독백,0.305,True,7,0.769,0.858,top,0.5656,,0,,0.0879,-0.014099,0.2566,0.625
vocaloid,cknsKkzA2lM,サ終あざした / 重音テトSV,avaraya,UCT5glZ9wVWRo0VsKzsG5DlQ,49900,706448,18245,424,14.1573,0.0258,20250701,1,200,1920,1080,24,1.778,False,False,True,False,2026-07-16T11:49:12,4,200.12,23.976,50,4.0,2.31,0.75,17.89,15.0,0.44,0.5,200.13,152.0,D major,0.667,0.221,0.0785,2940.0,3.85,80,-12.9,6.5,anime,활기,0.34,0.54,0.54,0.7,37,2,11.1,ja,ocr,0,3dcg,1,True,활기,인물 클로즈업,0.583,0.59,15,False,0,False,0,0.134,0.327,0.82,1.17,2,10.1,이별,판타지,부정,1인칭 독백,0.48,True,3,0.86,0.4,top,0.5354,,0,90,0.1429,0.009584,0.7688,1.0
vocaloid,4LrRm2Kv0So,リトライ！ / 初音ミク・重音テト - Retry!,hiroki.,UC2zxEt15cSuHEEj5PoNEm2g,105000,1417177,42993,1800,13.4969,0.0303,20251024,4,74,1920,1080,30,1.778,False,False,True,True,2026-07-16T11:53:07,3,74.0,30.0,34,2.18,1.55,0.57,11.8,27.6,0.741,0.234,74.01,112.3,E minor,0.284,0.1292,0.0617,2437.0,3.61,10,-17.8,8.8,anime,활기,0.5,0.294,1.65,0.794,1,2,0.8,ja,asr,2,anime,2,False,슬픔,인물 클로즈업,0.754,0.33,26,False,0,False,2,0.153,0.273,1.35,3.67,2,4.1,,,,,0.378,True,8,1.238,0.135,top,,,,,,-0.016917,0.055,0.6199
vocaloid,7qAAg5WeB20,"halyosy - ダンロウグモ ft. KAITO, 鏡音レン [Official Video]",halyosy,UC-cGs-5HqIutyUrPa8mmDUA,214000,2854955,16136,318,13.3409,0.0057,20251030,3,193,2560,1440,24,1.778,False,False,True,False,2026-07-16T11:55:36,2,192.92,24.0,78,2.47,1.65,0.67,12.42,24.3,0.343,0.469,192.93,107.7,A minor,0.71,0.2814,0.0833,2529.0,3.78,170,-11.0,2.8,anime,긴장,0.885,0.077,1.15,0.859,18,2,5.6,ja,ocr,1,anime,2,True,긴장,인물 클로즈업,0.54,0.494,49,False,1,False,0,0.11,0.429,0.88,12.42,2,4.4,이별,어둠/절망,부정,1인칭 독백,0.312,True,2,0.888,0.881,top,0.5318,,0,138,0.0909,0.01546,0.835,1.0
vocaloid,-FX7yWRFw9Y,【Youtube登録5万人感謝曲】箱庭は続く / feat. DIORAMA×知声×可不,DIORAMA,UCbgZoMcYhiGNJ5fyqyPcW6Q,61800,229,10,5,0.0037,0.0437,20251203,2,92,1920,1080,60,1.778,False,False,False,False,2026-07-16T12:00:50,1,91.9,60.0,3,30.63,27.48,6.05,58.37,2.0,0.495,0.143,91.91,103.4,D# major,0.895,0.1393,0.0598,1896.0,3.11,70,-16.1,5.6,anime,평온,0.333,0.333,1.33,1.0,8,11,5.2,ja,asr,11,anime,2,True,평온,인물 클로즈업,0.722,0.199,44,False,1,False,0,0.088,1.0,0.0,58.37,11,51.7,희망,,긍정,1인칭 독백,0.043,False,0,0.648,0.762,bottom,0.577,,0,,0.0,,,
vocaloid,E0MpuPcY_1A,【メリクリ】夜撫でるメノウ / Ayase feat.DIORAMA & GUMI SV,DIORAMA,UCbgZoMcYhiGNJ5fyqyPcW6Q,61800,436,11,5,0.0071,0.0252,20251224,2,281,1920,1080,60,1.778,False,False,False,True,2026-07-16T12:01:48,1,280.82,60.0,11,25.53,10.48,1.7,75.0,2.4,0.434,0.088,280.83,99.4,D# major,0.536,0.198,0.0914,2063.0,3.63,230,-14.6,6.2,anime,평온,0.0,0.364,1.0,0.455,20,18,4.3,ja,ocr,8,anime,1,True,평온,인물 클로즈업,0.749,0.087,44,False,1,False,0,0.128,0.3,0.0,10.48,18,41.4,이별,희망,부정,2인칭 대상,0.421,True,2,0.111,0.819,bottom,0.5907,,0,,0.0,,,
vocaloid,h-ibHxT6xbY,九月の妄想 September Delusion #horror #dreamcore #liminalspace,永久恋愛ととと Eclair Tototo,UCZPNQj7_olP2il2aHitNehA,1860,39,2,1,0.021,0.0513,20251014,1,116,1280,720,30,1.778,False,False,False,False,2026-07-16T12:05:58,2,116.3,30.0,38,3.06,1.69,0.63,12.3,19.6,0.216,0.467,116.31,129.2,F minor,0.828,0.1111,0.0503,469.0,1.99,80,-18.7,5.3,live_action,평온,0.447,0.132,0.95,1.0,41,8,21.2,ja,ocr,,anime,2,True,슬픔,인물 클로즈업,0.313,0.321,57,False,0,False,0,0.118,0.351,0.63,3.57,8,6.6,이별,판타지,부정,1인칭 독백,0.897,True,8,0.792,0.688,bottom,0.1841,,0,18,0.2432,,,
vocaloid,SgmdoeayELI,"愛して愛して愛のザイシャ Love Me, Love Me, the Sin Named Zaisya #初音ミク #music #オリジナル曲",永久恋愛ととと Eclair Tototo,UCZPNQj7_olP2il2aHitNehA,1860,69,2,,0.0371,0.029,20251122,5,124,1280,720,30,1.778,False,False,False,False,2026-07-16T12:08:18,1,123.47,30.0,6,20.58,8.73,1.47,80.2,2.9,0.182,0.25,123.47,107.7,A minor,0.746,0.2798,0.0793,2710.0,0.92,70,-11.1,1.2,anime,슬픔,1.0,0.0,0.67,0.667,24,0,11.7,ja,ocr,,anime,1,True,슬픔,인물 클로즈업,0.398,0.407,72,False,0,False,0,0.132,0.4,0.0,80.2,0,37.1,이별,희망,부정,1인칭 독백,0.968,True,0,1.115,0.567,bottom,0.24,,0,44,0.4,,,
vocaloid,aIIevDkXt2E,快晴の扉を開けて / 初音ミク【イラスト統一祭2025】,赤猫,UCUN9LanpplJ21Cla0Z5J29g,1770,82,9,3,0.0463,0.1098,20250919,4,159,1920,1080,30,1.778,False,False,False,False,2026-07-16T12:09:40,8,159.33,30.0,13,12.26,10.63,0.53,30.2,4.9,0.463,0.366,159.35,89.1,F# major,0.864,0.1714,0.0493,3195.0,1.39,110,-13.7,4.6,anime,평온,0.0,1.0,0.62,0.769,21,0,7.9,ja,asr,0,anime,1,True,평온,인물 클로즈업,0.737,0.607,28,False,1,False,0,0.27,0.167,1.33,0.73,0,18.2,희망,,긍정,1인칭 독백,0.062,False,1,0.626,0.69,bottom,0.5677,,0,100,0.0833,,,
vocaloid,LaceJI6HjpI,"明日、僕が消える前に / 雨良 feat.初音ミク (Tomorrow, before I disappear / Amala ft.Miku)",雨良 Amala,UCeBuESc6vN_IiFR3je4NYTg,636000,33329,1874,105,0.0524,0.0562,20250628,5,98,1920,1080,60,1.778,False,False,False,True,2026-07-16T12:11:29,2,97.88,60.0,20,4.89,5.04,0.28,13.43,12.3,0.887,0.053,97.91,103.4,C# major,0.714,0.1749,0.0757,2993.0,3.39,60,-14.2,6.5,live_action,평온,0.3,0.55,0.95,0.45,19,0,11.6,ja,ocr,0,anime,0,True,슬픔,풍경 와이드,0.581,0.133,72,False,0,False,0,0.094,0.526,0.52,9.1,0,8.4,이별,희망,부정,1인칭 독백,0.816,True,2,0.873,0.613,bottom,0.528,0,4,10,0.1579,,,
vocaloid,CfGwxWa5dqM,レイス / AI ナースロボ_タイプT × ナースロボ_タイプT,赤猫,UCUN9LanpplJ21Cla0Z5J29g,1770,112,16,1,0.0633,0.1429,20251124,0,179,1920,1080,30,1.778,False,False,False,False,2026-07-16T12:13:27,4,179.1,30.0,9,19.9,12.0,1.57,59.87,3.0,0.227,0.033,179.13,161.5,F# minor,0.706,0.1888,0.0633,3358.0,3.44,60,-14.1,3.4,anime,어둠,0.111,0.889,0.89,0.778,18,0,6.0,ja,ocr,0,anime,1,True,슬픔,인물 클로즈업,0.622,0.063,32,False,0,False,0,0.06,0.875,0.0,2.07,0,53.8,어둠/절망,,부정,1인칭 독백,0.444,True,1,0.875,0.335,bottom,0.5812,,0,,0.0,,,
vocaloid,mUTOHRgD-os,【重音テト】ロックな心でぶっ壊せ【オリジナル】,Diorite Shun,UCzILA7ouPpZgvu9V8igaBeQ,1270,84,12,,0.0661,0.1429,20260222,6,103,960,720,30,1.333,False,False,False,False,2026-07-16T12:15:24,3,103.4,30.0,1,103.4,103.4,103.4,103.4,0.6,0.621,0.106,103.41,117.5,E minor,0.74,0.1375,0.04,2227.0,4.18,90,-17.9,4.0,anime,활기,0.0,0.0,1.0,1.0,45,0,26.1,ja,ocr,0,anime,1,True,활기,인물 클로즈업,0.473,0.085,23,False,2,False,0,,,,,0,195.8,희망,자기긍정,긍정,1인칭 독백,0.827,True,0,0.809,0.87,bottom,0.2359,,0,12,,,,
vocaloid,HWgwsHrNQU4,BALLOON  -alternative- feat.TIARA,StudioTiara -Official-,UC_VPwodspkZdEXr9fZJ8fXg,17500,1227,108,15,0.0701,0.088,20251121,4,106,720,480,30,1.5,False,False,False,False,2026-07-16T12:16:26,3,105.77,30.0,7,15.11,3.27,1.6,78.17,4.0,0.098,0.239,105.77,107.7,D minor,0.523,0.2637,0.112,2674.0,2.18,90,-10.5,7.0,anime,활기,0.286,0.286,0.43,0.286,6,26,3.4,ja,asr,26,motion_graphics,0,True,활기,텍스트 중앙,0.057,0.088,33,False,0,False,0,0.146,0.333,0.0,8.37,26,26.9,,,,,0.0,False,3,0.61,0.851,bottom,,,,,,,,
vocaloid,uXvbBt3o0GU,【重音テト】何億光年と走り抜け,Diorite Shun,UCzILA7ouPpZgvu9V8igaBeQ,1270,100,18,,0.0787,0.18,20250926,4,81,960,720,30,1.333,False,False,False,False,2026-07-16T12:18:10,2,81.17,30.0,1,81.17,81.17,81.17,81.17,0.7,0.584,0.119,81.17,117.5,C# minor,0.549,0.144,0.0312,2440.0,6.16,40,-17.4,1.7,anime,슬픔,0.0,0.0,1.0,1.0,11,0,8.1,ja,ocr,0,anime,1,True,슬픔,인물 클로즈업,0.445,0.101,15,False,1,False,0,,,,,0,167.9,어둠/절망,,부정,1인칭 독백,0.878,True,0,1.011,0.493,bottom,0.3647,,0,60,,,,
vocaloid,PvV3HZvv5a0,Silent Destiny feat.てぃあら,StudioTiara -Official-,UC_VPwodspkZdEXr9fZJ8fXg,17500,1420,126,4,0.0811,0.0887,20251230,1,158,1920,1080,30,1.778,False,False,False,False,2026-07-16T12:18:58,4,158.33,30.0,28,5.65,4.87,0.57,33.77,10.6,0.214,0.377,158.35,95.7,G# major,0.775,0.2591,0.1175,2692.0,3.04,140,-11.2,5.9,anime,평온,0.071,0.893,0.11,0.786,14,44,5.3,ja,ocr,2,anime,1,True,신비,인물 클로즈업,0.246,0.678,24,False,0,False,0,0.225,0.333,0.0,4.93,44,9.0,판타지,,중립,1인칭 독백,0.127,True,3,0.485,0.884,bottom,0.3158,,0,90,0.037,,,
vocaloid,iFn15MwYJ9g,【VocaDuo2025】ショコラマジック / チーム dolce m!ele,rusino / ルシノ,UCjuAuVO76nZ0mjYzdz3961Q,160000,14171,537,18,0.0886,0.0379,20250705,5,162,1920,1080,30,1.778,False,True,False,False,2026-07-16T12:21:35,1,162.4,30.0,4,40.6,28.12,4.6,101.57,1.5,0.896,0.164,162.43,78.3,G major,0.548,0.1908,0.0665,2749.0,3.98,110,-14.4,3.4,anime,활기,0.25,0.75,0.75,0.75,18,7,6.7,ja,asr,7,anime,1,True,활기,인물 클로즈업,0.874,0.285,39,False,1,False,1,0.281,0.0,2.71,4.6,7,52.2,사랑,희망,긍정,1인칭 독백,0.025,False,1,0.889,0.677,bottom,0.545,,0,,0.3333,,,
vocaloid,i-FD7IfSJ40,歌流間 / 初音ミク MV,獅子志司,UCihQ9WPpwc-fZ9lz3ZjAYnA,213000,19851,1120,27,0.0932,0.0564,20250404,4,236,1920,1080,24,1.778,False,False,False,False,2026-07-16T12:23:04,3,235.62,24.0,107,2.2,1.54,0.67,14.33,27.2,0.49,0.423,235.63,117.5,A# major,0.894,0.2283,0.0938,2444.0,4.07,50,-12.2,5.7,anime,긴장,0.701,0.234,1.21,0.056,73,16,18.6,ja,asr,16,anime,1,True,활기,인물 클로즈업,0.906,0.38,13,False,0,True,0,0.139,0.349,1.0,4.17,16,4.3,어둠/절망,판타지,부정,1인칭 독백,0.085,False,4,0.506,0.212,bottom,0.5742,,0,,0.3774,,,
vocaloid,VRukT2CJTzQ,Nýx / TOOBOE,john / TOOBOE,UCV8slsLG3_GKRxjpg8NVqXg,631000,59680,2054,60,0.0946,0.0344,20250926,4,183,3840,2160,24,1.778,False,False,True,True,2026-07-16T12:29:41,4,183.06,23.976,40,4.58,4.25,0.88,14.97,13.1,0.111,0.28,183.07,99.4,F# major,0.773,0.2063,0.1421,1840.0,2.65,140,-12.2,11.1,live_action,슬픔,0.15,0.675,0.6,0.85,22,12,7.2,ja,asr,12,anime,1,True,슬픔,인물 클로즈업,0.163,0.426,12,False,0,False,0,0.082,0.615,0.7,6.55,12,7.6,이별,희망,긍정,2인칭 대상,0.043,False,4,0.27,0.765,bottom,0.4989,,0,86,0.2051,0.008656,1.0004,1.0
vocaloid,h-m5Cs47sq0,すているうぷ / 南ノ南 feat.東北きりたん,南ノ南,UC53I70eBu29T9rO1GvXdc_w,124000,12926,712,43,0.1042,0.0551,20260212,3,214,1920,1080,30,1.778,False,True,False,True,2026-07-16T12:32:57,7,214.0,30.0,34,6.29,2.0,0.5,54.73,9.5,0.626,0.174,214.03,123.0,D# minor,0.798,0.2505,0.0761,2795.0,4.27,150,-11.6,2.7,anime,슬픔,0.059,0.647,0.88,0.412,49,0,13.7,ja,ocr,34,anime,1,True,슬픔,인물 클로즈업,0.45,0.354,24,False,0,False,0,0.064,0.727,0.32,1.07,0,12.9,이별,사랑,부정,1인칭 독백,0.467,True,7,0.729,0.701,bottom,0.3705,,0,98,0.0,,,
vocaloid,78F_I8MQLYM,【鏡音レン・Yuma】ナイトメアディナータイム【オリジナルMV】,ひとしずく×やま△ （Hitoshizuku_Yamasankakkei）,UCxKrjx1FDU81UXuwTgwYQHw,449000,47000,2876,73,0.1047,0.0612,20260116,4,184,1920,1080,30,1.778,False,True,False,False,2026-07-16T12:36:03,2,183.57,30.0,45,4.08,2.5,0.5,38.33,14.7,0.147,0.592,183.59,112.3,G minor,0.775,0.2656,0.1049,2652.0,3.65,40,-10.3,5.8,anime,긴장,0.378,0.533,1.04,0.822,71,4,23.2,ja,ocr,4,anime,2,True,긴장,인물 클로즈업,0.468,0.698,32,False,2,False,0,0.138,0.341,0.83,0.6,4,7.6,어둠/절망,,부정,1인칭 독백,0.815,True,3,0.497,0.218,bottom,0.4116,10,2,6,0.3182,,,
vocaloid,zN4Y7tFF8BY,"「リトルシスター」40mP feat.彩澄しゅお,彩澄りりせ",40meterP,UCG09qajPDZdPtLsTkW7mJQA,611000,74355,3005,74,0.1217,0.0404,20250801,4,179,1920,1080,24,1.778,False,False,True,False,2026-07-16T12:39:50,20,179.04,24.0,88,2.03,1.71,0.62,7.62,29.5,0.51,0.318,179.05,83.4,F minor,0.643,0.266,0.1112,2454.0,4.02,140,-11.6,5.1,anime,활기,0.534,0.318,1.2,0.886,26,20,8.7,ja,ocr,16,anime,2,True,활기,인물 클로즈업,0.461,0.275,30,False,0,False,0,0.174,0.299,1.03,2.54,20,2.8,희망,판타지,긍정,1인칭 독백,0.389,True,6,0.361,0.782,bottom,0.5984,,0,124,0.1839,0.012626,0.7291,1.0
vocaloid,yV5-Gk59p8o,螟｢迴ｾ,rusino / ルシノ,UCjuAuVO76nZ0mjYzdz3961Q,160000,20887,962,47,0.1305,0.0461,20250519,0,157,1920,1080,30,1.778,False,True,False,False,2026-07-16T12:45:33,4,157.27,30.0,19,8.28,7.37,0.7,16.37,7.2,0.119,0.166,157.27,136.0,G minor,0.491,0.2698,0.1058,2631.0,2.79,130,-11.2,4.2,motion_graphics,평온,0.842,0.053,0.32,0.632,14,1,5.3,ja,asr,1,anime,1,True,평온,인물 클로즈업,0.054,0.038,4,False,0,False,0,0.037,0.944,0.44,1.33,1,18.9,이별,어둠/절망,부정,1인칭 독백,0.342,True,2,0.57,0.827,bottom,0.5262,,0,,0.0556,,,
vocaloid,lhwV573qUlE,暴飲暴食P「江戸前ビューティーサロン寿司美」feat. 可不,暴飲暴食P,UCRF-oSGAxISmpBubZT3WPXQ,77200,10225,237,26,0.1324,0.0232,20250613,4,160,1920,1080,25,1.778,False,False,False,False,2026-07-16T12:47:39,2,160.24,25.0,52,3.08,1.72,0.68,15.56,19.5,0.772,0.397,160.27,152.0,E minor,0.783,0.2392,0.1322,2301.0,2.02,80,-11.6,4.2,anime,활기,0.673,0.212,0.83,0.788,16,16,6.0,ja,ocr,12,anime,6,True,활기,인물 클로즈업,0.911,0.279,30,False,0,False,0,0.084,0.588,0.79,1.24,16,7.8,희망,,긍정,1인칭 독백,0.263,True,6,0.776,0.499,bottom,0.7866,,0,,0.098,,,
vocaloid,0xEOpbQWb4c,【オリジナル曲】僕はリーダーになれない｜─届かない場所へ手を伸ばして─,Ryo Yoshioka,UCDC9jUlIdjOH1Z7jhqxUcPQ,3020,424,6,1,0.1404,0.0142,20250620,4,180,1920,1080,30,1.778,False,False,False,False,2026-07-16T12:51:13,3,179.95,29.97,1,179.95,179.95,179.95,179.95,0.3,0.398,0.335,179.95,161.5,D major,0.726,0.2288,0.0521,2289.0,2.77,160,-13.6,2.5,anime,슬픔,1.0,0.0,1.0,1.0,28,0,9.3,ja,ocr,0,anime,1,True,평온,인물 클로즈업,0.394,0.331,35,False,1,False,0,,,,,0,538.3,이별,희망,부정,1인칭 독백,0.756,True,0,0.74,0.889,bottom,0.496,,0,126,,,,
vocaloid,-hgaSBzS_Z0,見失ってしまった - 氷山キヨテルSV / But I Lost It - Hiyama Kiyoteru SV,知田そら / Chida Sora,UCyetbPb7Foo1cpDIn2JUKqw,6400,961,113,11,0.1502,0.1176,20260320,4,152,1920,1080,30,1.778,False,False,False,False,2026-07-16T12:52:30,8,152.37,30.0,12,12.7,10.85,2.67,21.33,4.7,0.554,0.238,152.39,89.1,A# minor,0.621,0.2003,0.0761,2369.0,3.03,110,-14.4,4.3,anime,슬픔,0.833,0.0,0.83,1.0,23,44,9.1,ja,ocr,0,anime,1,True,슬픔,인물 클로즈업,0.65,0.484,56,False,0,False,0,0.034,0.909,1.39,11.03,44,19.0,일상,,부정,1인칭 독백,0.947,True,1,1.04,0.722,bottom,0.442,,0,86,0.0909,,,
vocaloid,zLbH9iN7aSU,海底の神社 ~ The Undersea Shrine,sawn,UCU0ZgqOPd55eQZEs5tDwNSw,8050,1239,151,15,0.1539,0.1219,20250727,6,119,1920,1080,30,1.778,False,False,False,False,2026-07-16T12:54:20,18,118.82,29.97,1,118.82,118.82,118.82,118.82,0.5,0.5,0.655,118.85,129.2,E major,0.481,0.1717,0.0548,782.0,1.98,90,-15.8,4.8,3dcg,평온,0.0,1.0,1.0,0.0,1,0,0.5,ja,asr,0,3dcg,0,False,평온,풍경 와이드,0.525,0.656,27,False,0,False,0,,,,,0,258.4,,,,,0.017,False,0,0.91,0.757,bottom,,,,,,,,
vocaloid,hfY9-ROVfvg,カラフルファンデーション feat.初音ミク 【プロジェクトセカイ】,mikitoP  Official,UCBR4N5DkgDt3PLTcfJB1iiw,489000,77562,4857,150,0.1586,0.0626,20260318,2,173,3840,2160,24,1.778,False,False,True,False,2026-07-16T12:55:25,5,172.84,23.976,23,7.51,2.08,0.75,29.36,8.0,0.218,0.267,172.87,112.3,E minor,0.531,0.0872,0.0257,1930.0,3.6,140,-21.5,3.7,live_action,활기,0.435,0.217,2.09,0.652,36,6,12.5,ja,ocr,6,live_action,1,True,평온,인물 클로즈업,0.12,0.472,34,False,1,False,0,0.111,0.409,0.39,0.75,6,14.0,희망,판타지,긍정,1인칭 독백,0.86,True,1,0.99,0.81,bottom,0.4864,,0,60,0.1364,0.006619,0.995,1.0
vocaloid,X2CFrEDiDyY,Pain / めろくる feat. 初音ミク,Mellowcle,UCX5aTMDjqpR3nkt-XpuftLg,78200,12767,697,37,0.1633,0.0546,20250620,4,165,1920,1080,24,1.778,False,False,False,False,2026-07-16T12:57:53,3,164.54,24.0,15,10.97,6.21,0.83,35.54,5.5,0.45,0.116,164.57,136.0,F# minor,0.854,0.2827,0.1208,2223.0,3.83,20,-11.5,6.9,anime,슬픔,0.4,0.2,1.07,0.667,19,2,6.9,ja,ocr,1,anime,2,True,슬픔,인물 클로즈업,0.686,0.16,22,False,0,False,0,0.096,0.571,1.18,6.21,2,24.7,이별,희망,부정,1인칭 독백,0.402,True,2,0.447,0.122,bottom,0.6083,,0,78,0.0714,,,
vocaloid,JiE9drSO8nk,星屑ジェットコースター - かめりあ feat.初音ミク【MV】 [From 初音ミク 夜空プログラム2025],Camellia Official,UCV4ggxLd_Vz-I-ePGSKfFog,554000,90511,4469,244,0.1634,0.0494,20251102,6,253,1920,1080,30,1.778,False,False,True,False,2026-07-16T12:59:57,7,252.92,29.97,144,1.76,1.52,0.53,6.41,34.2,0.478,0.364,252.93,73.8,B major,0.716,0.3464,0.1035,3050.0,4.48,140,-8.4,2.4,anime,활기,0.472,0.382,0.9,0.882,61,2,14.5,ja,ocr,11,anime,1,True,활기,인물 클로즈업,0.647,0.524,56,False,2,True,0,0.232,0.168,1.24,1.0,2,2.2,희망,판타지,긍정,1인칭 독백,0.794,True,5,0.53,0.554,bottom,0.38,,0,80,0.2238,0.010555,0.895,1.0
kpop,r1QapH1SIAI,fromis_9 (프로미스나인) 'LIKE YOU BETTER' MV,fromis_9,UCXbRURMKT3H_w8dT-DWLIxA,305000,26882372,209021,11000,88.1389,0.0078,20250625,2,208,3840,2160,24,1.778,False,False,True,False,2026-07-16T20:11:05,2,207.62,23.976,131,1.59,1.29,0.63,5.71,37.9,0.494,0.273,207.63,129.2,F# major,0.876,0.2829,0.1337,2733.0,2.52,130,-9.8,11.8,live_action,활기,0.389,0.328,2.33,0.053,33,25,9.5,ko,asr,25,live_action,1,True,평온,인물 클로즈업,0.479,0.369,38,False,0,True,0,0.11,0.454,1.2,1.38,25,3.4,희망,사랑,긍정,1인칭 독백,0.106,True,9,0.21,0.626,top,0.6113,,0,100,0.1769,0.005881,0.865,1.0
kpop,Qe8fa4b5xNU,화사 (HWASA) - 'Good Goodbye' MV,HWASA,UCiM8arBZ-GyuBFG3wy6fEgw,1950000,166788836,1188383,30000,85.5327,0.0071,20251015,2,225,3840,2160,24,1.778,False,False,True,False,2026-07-16T20:21:55,2,225.29,24.0,101,2.23,1.75,0.62,8.21,26.9,0.357,0.345,225.31,99.4,B major,0.77,0.1214,0.0582,2387.0,2.61,170,-17.9,6.7,live_action,평온,0.426,0.287,1.4,0.0,33,4,8.8,ko,asr,4,live_action,2,True,평온,인물 클로즈업,0.557,0.281,30,False,0,True,0,0.139,0.29,1.46,1.08,4,3.7,이별,희망,긍정,1인칭 독백,0.0,False,6,0.53,0.755,top,0.5774,,0,114,0.15,0.005243,0.6378,1.0
kpop,5ZB9JLfIw_Q,fromis_9 (프로미스나인) '하얀 그리움' MV,fromis_9,UCXbRURMKT3H_w8dT-DWLIxA,305000,13436332,111798,8800,44.0535,0.0083,20251202,1,254,3840,1636,24,2.347,False,False,True,False,2026-07-16T20:31:31,1,253.59,23.976,129,1.97,1.59,0.67,8.38,30.5,0.473,0.325,253.61,129.2,D# major,0.609,0.2869,0.1306,2762.0,2.61,90,-9.9,8.6,live_action,활기,0.589,0.217,2.44,0.147,27,8,6.4,ko,asr,8,anime,2,True,활기,인물 클로즈업,0.535,0.239,29,False,0,True,0,0.12,0.438,1.29,6.13,8,4.2,사랑,이별,부정,3인칭 관찰,0.016,False,3,0.149,0.355,top,0.5049,103,4,158,0.0781,0.017382,0.685,1.0
kpop,HnYtDIW7elY,ZEROBASEONE (제로베이스원) 'ICONIK' MV,ZEROBASEONE,UCSAp0Yl9S0Zq5uDqE6im_XQ,2120000,56672180,268774,30000,26.7322,0.0047,20250901,0,193,3840,2160,24,1.778,False,False,True,False,2026-07-16T20:40:50,2,193.15,23.976,88,2.19,1.06,0.63,25.69,27.3,0.305,0.444,193.17,117.5,D minor,0.882,0.2602,0.0994,3256.0,3.13,40,-11.1,5.1,live_action,긴장,0.375,0.364,2.11,0.193,86,1,26.7,ko,asr,9,anime|live_action|3dcg|motion_graphics|mixed,2,True,활기,인물 클로즈업,0.351,0.425,32,False,0,True,0,0.133,0.333,1.11,4.13,1,4.3,희망,,긍정,1인칭 독백,0.062,False,9,0.537,0.207,top,0.5268,,0,114,0.4138,-0.006678,0.3468,1.0
