domain,video_id,title,channel,channel_id,subscriber_count,view_count,like_count,comment_count,view_per_sub,like_per_view,upload_date,upload_weekday,duration_s,width,height,fps,aspect_ratio,has_chapters,has_nico_link,has_heatmap,was_premiere,collected_at,upload_hour,scene_duration_s,scene_fps,scene_num_scenes,scene_avg_shot_len_s,scene_median_shot_len_s,scene_min_shot_len_s,scene_max_shot_len_s,scene_cuts_per_minute,scene_avg_brightness,scene_avg_saturation,audio_duration_s,audio_bpm,audio_key,audio_key_confidence,audio_rms_mean,audio_rms_std,audio_spectral_centroid_hz,audio_onsets_per_sec,audio_peak_energy_at_s,audio_lufs_i,audio_lra_lu,tag_style_top,tag_mood_top,tag_closeup_ratio,tag_wide_ratio,tag_avg_characters,tag_lyrics_text_ratio,lyrics_n_lyric_lines,lyrics_first_lyric_at_s,lyrics_lyric_lines_per_min,lyrics_lang,lyrics_source,lyrics_first_vocal_at_s,thumb_style,thumb_num_characters,thumb_has_text,thumb_mood,thumb_composition,thumb_brightness,thumb_saturation,title_len,title_has_emoji,title_bracket_segments,title_has_mv_mark,title_exclaim_count,sync_cut_beat_offset_med_s,sync_cut_on_beat_ratio,sync_cut_accel_at_peak,sync_first_cut_s,sync_first_lyric_at_s,sync_beats_per_cut,lyrics_topic_1,lyrics_topic_2,lyrics_sentiment,lyrics_addressee,lyrics_text_frame_ratio,lyrics_has_hardsub,hook_cuts_first_15s,hook_energy_first_10s_ratio,audio_peak_energy_ratio,group,lyrics_compression_ratio,lyrics_title_first_s,lyrics_title_count,lyrics_first_chorus_s,sync_cut_on_line_ratio,heat_slope_first_30s,heat_peak_at_ratio,heat_peak_value
vocaloid,TbakFPc4ZTw,怪獣になりたい / Sakuzyo feat. 初音ミク 【プロジェクトセカイChampionship 2025】【MV】,Sakuzyo Official,UC58hIFa6J8zRm3dKg7exQ2Q,123000,8714474,,8600,70.8494,0.0,20251018,5,125,1920,1080,30,1.778,False,False,True,False,2026-07-16T09:10:10,5,124.6,30.0,51,2.44,1.47,0.5,11.17,24.6,0.64,0.245,124.67,107.7,F minor,0.819,0.2999,0.1077,2764.0,1.09,110,-10.2,4.6,anime,긴장,0.294,0.529,2.75,0.255,35,4,16.9,ja,asr,4,anime,1,True,활기,인물 클로즈업,0.722,0.221,61,False,2,True,0,0.133,0.32,0.75,1.0,4,4.4,이별,희망,부정,1인칭 독백,0.032,False,4,0.746,0.882,top,0.6745,,0,64,0.24,-0.000126,0.495,1.0
vocaloid,rv_SfZ2DVRA,このサメ飼ってもいい？ - 初音ミク [せなすけ] Official MV,せなすけ,UC2IHTTgjQvoYdxj0-Fn3WZg,86400,5862003,60932,2800,67.8473,0.0104,20250625,2,123,1920,1080,30,1.778,False,False,True,False,2026-07-16T10:49:09,3,123.1,30.0,49,2.51,1.37,0.67,11.17,23.9,0.907,0.619,123.11,89.1,D major,0.745,0.0983,0.049,2657.0,4.91,50,-18.8,4.1,anime,활기,0.286,0.061,1.69,0.755,37,8,18.0,ja,ocr,0,anime,2,True,활기,인물 클로즈업,0.915,0.612,37,False,1,True,0,0.09,0.521,1.15,5.73,8,3.7,사랑,이별,부정,1인칭 독백,0.629,True,5,0.831,0.406,top,0.4201,,0,14,0.2083,-0.023482,0.0554,0.4782
vocaloid,Dz5rALpx06M,バゥムクゥヘン・エンドロゥル / 雨良 feat.初音ミクVS重音テトVS亞北ネル(Baumkuchen End Credits / Amala ft.Miku vs Teto vs Neru),雨良 Amala,UCeBuESc6vN_IiFR3je4NYTg,636000,36083032,469718,23000,56.7343,0.013,20251226,4,146,1920,1080,30,1.778,False,False,True,True,2026-07-16T10:52:24,2,146.17,30.0,51,2.87,2.07,0.5,9.67,20.9,0.487,0.339,146.17,123.0,D# minor,0.8,0.3237,0.132,2660.0,2.69,120,-8.8,5.8,anime,활기,0.725,0.098,1.24,0.941,33,4,13.5,ja,ocr,0,anime,3,False,활기,인물 클로즈업,0.776,0.628,97,False,0,False,0,0.11,0.48,1.75,0.67,4,5.9,이별,자기긍정,부정,1인칭 독백,0.575,True,2,0.734,0.821,top,0.5308,,0,130,0.22,-0.000617,0.3172,1.0
vocaloid,bmbAm-fKnbQ,"クローンクローン / GUMI, 鏡音リン",Atena,UCSVe_NzxYvegv-f5pWBbS5A,169000,6137010,110074,3800,36.3137,0.0179,20250628,5,150,1920,1080,24,1.778,False,True,True,True,2026-07-16T10:55:50,4,149.5,24.0,79,1.89,1.5,0.62,8.92,31.7,0.663,0.324,149.51,161.5,A# major,0.89,0.2589,0.091,2679.0,2.15,130,-11.4,3.7,anime,활기,0.367,0.418,1.63,0.911,80,4,32.1,ja,ocr,0,anime,2,False,활기,인물 클로즈업,0.833,0.478,21,False,0,False,0,0.095,0.513,0.86,2.5,4,5.1,이별,어둠/절망,부정,1인칭 독백,0.787,True,11,0.9,0.87,top,0.3738,,0,40,0.4487,-0.02832,0.365,0.9739
vocaloid,7Ucwpeg9iXM,"どりーむもーど / 音街ウナ, 歌愛ユキ",Atena,UCSVe_NzxYvegv-f5pWBbS5A,169000,5610843,104508,5000,33.2003,0.0186,20251101,5,144,1920,1080,24,1.778,False,True,True,True,2026-07-16T11:00:31,4,143.5,24.0,40,3.59,1.71,0.71,17.12,16.7,0.653,0.296,143.51,136.0,A major,0.851,0.2538,0.0867,2530.0,3.16,120,-11.6,2.3,anime,활기,0.2,0.225,1.75,0.975,93,2,38.9,ja,ocr,0,anime,2,False,활기,인물 클로즈업,0.743,0.407,20,False,0,False,0,0.094,0.513,0.37,1.83,2,8.1,일상,판타지,양가,1인칭 독백,0.903,True,5,0.476,0.836,top,0.3831,,0,40,0.3846,0.022243,0.355,1.0
vocaloid,JAWrvTEPDLc,クローバー♧クラブ -C♧C- / ゆうゆ feat.初音ミク (Clover Club -C&C- / Yuuyu feat.Hatsune Miku),ゆうゆ /仮乃スガタ,UCDaNhtCAFnvRKIyI8j8mObg,46900,1547726,39892,903,33.0006,0.0258,20250412,5,187,1920,1080,30,1.778,False,False,True,True,2026-07-16T11:03:33,4,186.47,30.0,77,2.42,1.4,0.6,10.8,24.8,0.824,0.362,186.57,172.3,F# minor,0.754,0.2489,0.1013,2936.0,2.84,60,-12.2,4.8,anime,활기,0.766,0.208,0.62,0.779,43,0,13.8,ja,asr,0,anime,1,False,활기,인물 클로즈업,0.904,0.317,77,True,0,False,0,0.114,0.329,1.96,5.77,0,6.9,일상,메타/음악,긍정,1인칭 독백,0.161,True,3,0.579,0.322,top,0.3912,,0,50,0.4079,0.003643,0.285,1.0
vocaloid,IxSvgPhdc8c,弱者のマーチ / 重音テト,えいぷ,UCOD2pj9gjQvgJX6bbhj0xlQ,66100,2074784,55347,1300,31.3886,0.0267,20260123,4,193,1920,1080,30,1.778,False,False,True,False,2026-07-16T11:08:32,2,192.97,30.0,66,2.92,1.27,0.5,18.47,20.5,0.578,0.496,192.97,123.0,G minor,0.377,0.323,0.1142,2844.0,3.95,150,-9.5,3.3,anime,분노,0.364,0.348,2.23,0.818,59,2,18.3,ja,ocr,22,anime,1,False,활기,인물 클로즈업,0.734,0.738,13,False,0,False,0,0.144,0.262,1.19,0.83,2,6.0,이별,어둠/절망,부정,1인칭 독백,0.812,True,1,0.786,0.777,top,0.5175,154,1,136,0.2923,0.016772,0.8092,1.0
vocaloid,s4kAOHUSvT8,トーストになっちゃった！！ / 足立レイ,maino,UC831qgpKyOctlC4-psqqm9A,12100,329953,11803,538,27.2688,0.0358,20251128,4,123,1920,1080,60,1.778,False,False,True,False,2026-07-16T11:13:17,2,122.98,60.0,94,1.31,0.47,0.42,15.38,45.9,0.609,0.548,122.99,103.4,F# major,0.348,0.2478,0.0912,3114.0,4.09,50,-12.6,2.3,anime,활기,0.957,0.032,0.91,0.926,23,2,11.2,ja,ocr,0,anime,1,False,활기,인물 클로즈업,0.523,0.495,20,False,0,False,2,0.134,0.366,1.98,1.83,2,2.3,일상,,부정,1인칭 독백,0.426,True,25,1.115,0.407,top,0.4365,98,1,46,0.3656,0.004531,0.995,1.0
vocaloid,ZxmqjmSCJOY,ブラッドドール / 初音ミク,Fuyuuu,UCDauwHFpO9lXhYmI0wvNbYA,22700,548969,31249,594,24.1837,0.0569,20250530,4,158,1920,1080,24,1.778,False,False,True,True,2026-07-16T11:18:30,3,157.58,24.0,96,1.64,1.25,0.67,6.62,36.6,0.303,0.391,157.61,152.0,F minor,0.492,0.3209,0.1003,2374.0,2.23,20,-10.3,4.8,anime,긴장,0.927,0.073,0.85,0.76,44,0,16.8,ja,asr,0,anime,1,False,슬픔,인물 클로즈업,0.495,0.405,14,False,0,False,0,0.095,0.526,1.24,2.42,0,4.2,이별,판타지,부정,1인칭 독백,0.076,False,7,1.006,0.127,top,0.4899,,0,123,0.2737,0.011328,0.875,1.0
vocaloid,W9eytW6iZKY,V  / Kakuriyo feat.初音ミク+鏡音リン+重音テト+GUMI+flower,Kakuriyo(幽世55番街),UCGa-5RWIYwrQi74aextL2yQ,17100,400681,14133,196,23.4316,0.0353,20250617,1,198,3840,2160,60,1.778,False,False,True,True,2026-07-16T11:24:21,5,198.1,60.0,200,0.99,0.65,0.25,7.28,60.6,0.579,0.485,198.11,129.2,F# minor,0.613,0.322,0.1054,3137.0,3.83,40,-9.7,4.3,anime,활기,0.565,0.35,2.2,0.825,9,24,2.7,ja,ocr,0,anime,5,False,활기,인물 클로즈업,0.481,0.559,45,False,0,False,0,0.141,0.322,1.24,0.62,24,2.1,자기긍정,,긍정,1인칭 독백,0.687,True,16,0.591,0.202,top,0.9558,,0,,0.0251,0.010002,0.8995,1.0
