video_id,group,aspect_ratio,audio_bpm,audio_duration_s,audio_key,audio_key_confidence,audio_lra_lu,audio_lufs_i,audio_onsets_per_sec,audio_peak_energy_at_s,audio_peak_energy_ratio,audio_rms_mean,audio_rms_std,audio_spectral_centroid_hz,channel,channel_id,collected_at,comment_count,duration_s,fps,has_chapters,has_heatmap,has_nico_link,height,hook_cuts_first_15s,hook_energy_first_10s_ratio,like_count,like_per_view,lyrics_addressee,lyrics_first_lyric_at_s,lyrics_first_vocal_at_s,lyrics_has_hardsub,lyrics_lang,lyrics_lyric_lines_per_min,lyrics_n_lyric_lines,lyrics_sentiment,lyrics_source,lyrics_text_frame_ratio,lyrics_topic_1,lyrics_topic_2,scene_avg_brightness,scene_avg_saturation,scene_avg_shot_len_s,scene_cuts_per_minute,scene_duration_s,scene_fps,scene_max_shot_len_s,scene_median_shot_len_s,scene_min_shot_len_s,scene_num_scenes,subscriber_count,sync_beats_per_cut,sync_cut_accel_at_peak,sync_cut_beat_offset_med_s,sync_cut_on_beat_ratio,sync_first_cut_s,sync_first_lyric_at_s,tag_avg_characters,tag_closeup_ratio,tag_lyrics_text_ratio,tag_mood_top,tag_style_top,tag_wide_ratio,thumb_brightness,thumb_composition,thumb_has_text,thumb_mood,thumb_num_characters,thumb_saturation,thumb_style,title,title_bracket_segments,title_exclaim_count,title_has_emoji,title_has_mv_mark,title_len,upload_date,upload_hour,upload_weekday,view_count,view_per_sub,was_premiere,width
TbakFPc4ZTw,top,1.778,107.7,124.67,F minor,0.819,4.6,-10.2,1.09,110,0.882,0.2999,0.1077,2764.0,Sakuzyo Official,UC58hIFa6J8zRm3dKg7exQ2Q,2026-07-16T09:10:10,8600,125,30,False,True,False,1080,4,0.746,,0.0,1인칭 독백,4,4,False,ja,16.9,35,부정,asr,0.032,이별,희망,0.64,0.245,2.44,24.6,124.6,30.0,11.17,1.47,0.5,51,123000,4.4,0.75,0.133,0.32,1.0,4,2.75,0.294,0.255,긴장,anime,0.529,0.722,인물 클로즈업,True,활기,1,0.221,anime,怪獣になりたい / Sakuzyo feat. 初音ミク 【プロジェクトセカイChampionship 2025】【MV】,2,0,False,True,61,20251018,5,5,8714474,70.8494,False,1920
rv_SfZ2DVRA,top,1.778,89.1,123.11,D major,0.745,4.1,-18.8,4.91,50,0.406,0.0983,0.049,2657.0,せなすけ,UC2IHTTgjQvoYdxj0-Fn3WZg,2026-07-16T10:49:09,2800,123,30,False,True,False,1080,5,0.831,60932,0.0104,1인칭 독백,8,0,True,ja,18.0,37,부정,ocr,0.629,사랑,이별,0.907,0.619,2.51,23.9,123.1,30.0,11.17,1.37,0.67,49,86400,3.7,1.15,0.09,0.521,5.73,8,1.69,0.286,0.755,활기,anime,0.061,0.915,인물 클로즈업,True,활기,2,0.612,anime,このサメ飼ってもいい？ - 初音ミク [せなすけ] Official MV,1,0,False,True,37,20250625,3,2,5862003,67.8473,False,1920
Dz5rALpx06M,top,1.778,123.0,146.17,D# minor,0.8,5.8,-8.8,2.69,120,0.821,0.3237,0.132,2660.0,雨良 Amala,UCeBuESc6vN_IiFR3je4NYTg,2026-07-16T10:52:24,23000,146,30,False,True,False,1080,2,0.734,469718,0.013,1인칭 독백,4,0,True,ja,13.5,33,부정,ocr,0.575,이별,자기긍정,0.487,0.339,2.87,20.9,146.17,30.0,9.67,2.07,0.5,51,636000,5.9,1.75,0.11,0.48,0.67,4,1.24,0.725,0.941,활기,anime,0.098,0.776,인물 클로즈업,False,활기,3,0.628,anime,バゥムクゥヘン・エンドロゥル / 雨良 feat.初音ミクVS重音テトVS亞北ネル(Baumkuchen End Credits / Amala ft.Miku vs Teto vs Neru),0,0,False,False,97,20251226,2,4,36083032,56.7343,True,1920
bmbAm-fKnbQ,top,1.778,161.5,149.51,A# major,0.89,3.7,-11.4,2.15,130,0.87,0.2589,0.091,2679.0,Atena,UCSVe_NzxYvegv-f5pWBbS5A,2026-07-16T10:55:50,3800,150,24,False,True,True,1080,11,0.9,110074,0.0179,1인칭 독백,4,0,True,ja,32.1,80,부정,ocr,0.787,이별,어둠/절망,0.663,0.324,1.89,31.7,149.5,24.0,8.92,1.5,0.62,79,169000,5.1,0.86,0.095,0.513,2.5,4,1.63,0.367,0.911,활기,anime,0.418,0.833,인물 클로즈업,False,활기,2,0.478,anime,"クローンクローン / GUMI, 鏡音リン",0,0,False,False,21,20250628,4,5,6137010,36.3137,True,1920
7Ucwpeg9iXM,top,1.778,136.0,143.51,A major,0.851,2.3,-11.6,3.16,120,0.836,0.2538,0.0867,2530.0,Atena,UCSVe_NzxYvegv-f5pWBbS5A,2026-07-16T11:00:31,5000,144,24,False,True,True,1080,5,0.476,104508,0.0186,1인칭 독백,2,0,True,ja,38.9,93,양가,ocr,0.903,일상,판타지,0.653,0.296,3.59,16.7,143.5,24.0,17.12,1.71,0.71,40,169000,8.1,0.37,0.094,0.513,1.83,2,1.75,0.2,0.975,활기,anime,0.225,0.743,인물 클로즈업,False,활기,2,0.407,anime,"どりーむもーど / 音街ウナ, 歌愛ユキ",0,0,False,False,20,20251101,4,5,5610843,33.2003,True,1920
JAWrvTEPDLc,top,1.778,172.3,186.57,F# minor,0.754,4.8,-12.2,2.84,60,0.322,0.2489,0.1013,2936.0,ゆうゆ /仮乃スガタ,UCDaNhtCAFnvRKIyI8j8mObg,2026-07-16T11:03:33,903,187,30,False,True,False,1080,3,0.579,39892,0.0258,1인칭 독백,0,0,True,ja,13.8,43,긍정,asr,0.161,일상,메타/음악,0.824,0.362,2.42,24.8,186.47,30.0,10.8,1.4,0.6,77,46900,6.9,1.96,0.114,0.329,5.77,0,0.62,0.766,0.779,활기,anime,0.208,0.904,인물 클로즈업,False,활기,1,0.317,anime,クローバー♧クラブ -C♧C- / ゆうゆ feat.初音ミク (Clover Club -C&C- / Yuuyu feat.Hatsune Miku),0,0,True,False,77,20250412,4,5,1547726,33.0006,True,1920
IxSvgPhdc8c,top,1.778,123.0,192.97,G minor,0.377,3.3,-9.5,3.95,150,0.777,0.323,0.1142,2844.0,えいぷ,UCOD2pj9gjQvgJX6bbhj0xlQ,2026-07-16T11:08:32,1300,193,30,False,True,False,1080,1,0.786,55347,0.0267,1인칭 독백,2,22,True,ja,18.3,59,부정,ocr,0.812,이별,어둠/절망,0.578,0.496,2.92,20.5,192.97,30.0,18.47,1.27,0.5,66,66100,6.0,1.19,0.144,0.262,0.83,2,2.23,0.364,0.818,분노,anime,0.348,0.734,인물 클로즈업,False,활기,1,0.738,anime,弱者のマーチ / 重音テト,0,0,False,False,13,20260123,2,4,2074784,31.3886,False,1920
s4kAOHUSvT8,top,1.778,103.4,122.99,F# major,0.348,2.3,-12.6,4.09,50,0.407,0.2478,0.0912,3114.0,maino,UC831qgpKyOctlC4-psqqm9A,2026-07-16T11:13:17,538,123,60,False,True,False,1080,25,1.115,11803,0.0358,1인칭 독백,2,0,True,ja,11.2,23,부정,ocr,0.426,일상,,0.609,0.548,1.31,45.9,122.98,60.0,15.38,0.47,0.42,94,12100,2.3,1.98,0.134,0.366,1.83,2,0.91,0.957,0.926,활기,anime,0.032,0.523,인물 클로즈업,False,활기,1,0.495,anime,トーストになっちゃった！！ / 足立レイ,0,2,False,False,20,20251128,2,4,329953,27.2688,False,1920
ZxmqjmSCJOY,top,1.778,152.0,157.61,F minor,0.492,4.8,-10.3,2.23,20,0.127,0.3209,0.1003,2374.0,Fuyuuu,UCDauwHFpO9lXhYmI0wvNbYA,2026-07-16T11:18:30,594,158,24,False,True,False,1080,7,1.006,31249,0.0569,1인칭 독백,0,0,False,ja,16.8,44,부정,asr,0.076,이별,판타지,0.303,0.391,1.64,36.6,157.58,24.0,6.62,1.25,0.67,96,22700,4.2,1.24,0.095,0.526,2.42,0,0.85,0.927,0.76,긴장,anime,0.073,0.495,인물 클로즈업,False,슬픔,1,0.405,anime,ブラッドドール / 初音ミク,0,0,False,False,14,20250530,3,4,548969,24.1837,True,1920
W9eytW6iZKY,top,1.778,129.2,198.11,F# minor,0.613,4.3,-9.7,3.83,40,0.202,0.322,0.1054,3137.0,Kakuriyo(幽世55番街),UCGa-5RWIYwrQi74aextL2yQ,2026-07-16T11:24:21,196,198,60,False,True,False,2160,16,0.591,14133,0.0353,1인칭 독백,24,0,True,ja,2.7,9,긍정,ocr,0.687,자기긍정,,0.579,0.485,0.99,60.6,198.1,60.0,7.28,0.65,0.25,200,17100,2.1,1.24,0.141,0.322,0.62,24,2.2,0.565,0.825,활기,anime,0.35,0.481,인물 클로즈업,False,활기,5,0.559,anime,V  / Kakuriyo feat.初音ミク+鏡音リン+重音テト+GUMI+flower,0,0,False,False,45,20250617,5,1,400681,23.4316,True,3840
